palabra,cantidad
con ||-> 1
nuestro ||-> 1
lugar ||-> 1
seres ||-> 1
del ||-> 1
maã±ana ||-> 2
humanos ||-> 1
profesinal ||-> 1
prã³xima ||-> 1
arraigado ||-> 1
sentido ||-> 1
nuestra ||-> 2
adultos ||-> 1
casi ||-> 1
pensamos ||-> 1
nietos ||-> 1
desde ||-> 1
residencia ||-> 1
vez ||-> 1
vamos ||-> 2
darnos ||-> 1
sobre ||-> 2
estã ||-> 1
vidas ||-> 1
aã±os ||-> 1
serã ||-> 1
pequeã±os ||-> 1
nuestras ||-> 1
ilusionamos ||-> 1
que ||-> 3
reflexionamos ||-> 1
hijos ||-> 1
nuestros ||-> 1
dos ||-> 1
momento ||-> 1
hacer ||-> 2
los ||-> 1
nos ||-> 2
jubilemos ||-> 1
cuenta ||-> 1
sin ||-> 1
mes ||-> 1
dentro ||-> 1
cuando ||-> 1
planificamos ||-> 1
semana ||-> 1
una ||-> 1
cã³mo ||-> 1
cada ||-> 1
tarde ||-> 1
futuro ||-> 2
viene ||-> 1
carrera ||-> 1
familia ||-> 1
profundamente ||-> 1
